order_id,shipping_mode,days_for_shipping,days_for_shipment_scheduled,late_delivery,delivery_status
58491,Standard Class,2,4,0,Advance shipping
60201,Standard Class,2,4,0,Advance shipping
58707,Standard Class,3,4,0,Advance shipping
62067,Standard Class,3,4,0,Advance shipping
67126,Standard Class,2,4,0,Advance shipping
66127,Standard Class,3,4,0,Advance shipping
61216,Standard Class,2,4,0,Advance shipping
60731,Standard Class,2,4,0,Advance shipping
61871,Standard Class,2,4,0,Advance shipping
67066,Standard Class,2,4,0,Advance shipping
59951,Standard Class,2,4,0,Advance shipping
58381,Standard Class,2,4,0,Advance shipping
64011,Standard Class,2,4,0,Advance shipping
63682,Standard Class,3,4,0,Advance shipping
66211,Standard Class,2,4,0,Advance shipping
60291,Standard Class,2,4,0,Advance shipping
63587,Standard Class,3,4,0,Advance shipping
60601,Standard Class,2,4,0,Advance shipping
64306,Standard Class,2,4,0,Advance shipping
62201,Standard Class,2,4,0,Advance shipping
61132,Standard Class,3,4,0,Advance shipping
58837,Standard Class,3,4,0,Advance shipping
58032,Standard Class,3,4,0,Advance shipping
59166,Standard Class,2,4,0,Advance shipping
57762,Standard Class,3,4,0,Advance shipping
58546,Standard Class,2,4,0,Advance shipping
61742,Standard Class,3,4,0,Advance shipping
58206,Standard Class,2,4,0,Advance shipping
66437,Standard Class,3,4,0,Advance shipping
59417,Standard Class,3,4,0,Advance shipping
65112,Standard Class,3,4,0,Advance shipping
57866,Standard Class,2,4,0,Advance shipping
64331,Standard Class,2,4,0,Advance shipping
60837,Standard Class,3,4,0,Advance shipping
60781,Standard Class,2,4,0,Advance shipping
57871,Standard Class,2,4,0,Advance shipping
62636,Standard Class,2,4,0,Advance shipping
59832,Standard Class,3,4,0,Advance shipping
67106,Standard Class,2,4,0,Advance shipping
66887,Standard Class,3,4,0,Advance shipping
63207,Standard Class,3,4,0,Advance shipping
58071,Standard Class,2,4,0,Advance shipping
59081,Standard Class,2,4,0,Advance shipping
63101,Standard Class,2,4,0,Advance shipping
30802,Standard Class,3,4,0,Advance shipping
7507,Standard Class,3,4,0,Advance shipping
6632,Standard Class,3,4,0,Advance shipping
45956,Standard Class,2,4,0,Advance shipping
34836,Standard Class,2,4,0,Advance shipping
23701,Standard Class,2,4,0,Advance shipping
39146,Standard Class,2,4,0,Advance shipping
51732,Standard Class,3,4,0,Advance shipping
20497,Standard Class,3,4,0,Advance shipping
23466,Standard Class,2,4,0,Advance shipping
16791,Standard Class,2,4,0,Advance shipping
9866,Standard Class,2,4,0,Advance shipping
4281,Standard Class,2,4,0,Advance shipping
17507,Standard Class,3,4,0,Advance shipping
41592,Standard Class,3,4,0,Advance shipping
5842,Standard Class,3,4,0,Advance shipping
53282,Standard Class,3,4,0,Advance shipping
37991,Standard Class,2,4,0,Advance shipping
37952,Standard Class,3,4,0,Advance shipping
24101,Standard Class,2,4,0,Advance shipping
13986,Standard Class,2,4,0,Advance shipping
32076,Standard Class,2,4,0,Advance shipping
36597,Standard Class,3,4,0,Advance shipping
